"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HWBK","Hawthorn Bancshares, Inc.","24.29","$152.45M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hwbk",
"HYAC","Haymaker Acquisition Corp. II","9.9","$495M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyac",
"HYACU","Haymaker Acquisition Corp. II","10.3","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyacu",
"HYACW","Haymaker Acquisition Corp. II","1.2","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyacw",
"HAYN","Haynes International, Inc.","36.07","$451.36M","2007","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/hayn",
"HCHC","HC2 Holdings, Inc.","2.41","$110.5M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/hchc",
"HCA","HCA Healthcare, Inc.","124.28","$42.38B","2011","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/hca",
"HCI","HCI Group, Inc.","42.1","$344.39M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hci",
"HCP","HCP, Inc.","35.01","$17.19B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hcp",
"HDS","HD Supply Holdings, Inc.","39.04","$6.48B","2013","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/hds",
"HDB","HDFC Bank Limited","112.18","$102.29B","2001","Finance","Commercial Banks","https://old.nasdaq.com/symbol/hdb",
"HHR","HeadHunter Group PLC","19.76","$988M","2019","Technology","Professional Services","https://old.nasdaq.com/symbol/hhr",
"HCAT","Health Catalyst, Inc","37.95","$1.38B","2019","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/hcat",
"HIIQ","Health Insurance Innovations, Inc.","23.48","$332.98M","2013","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/hiiq",
"HSAC","Health Sciences Acquisitions Corporation","9.98","$143.46M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hsac",
"HSACU","Health Sciences Acquisitions Corporation","10.69","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hsacu",
"HSACW","Health Sciences Acquisitions Corporation","0.8","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hsacw",
"HR","Healthcare Realty Trust Incorporated","33.16","$4.29B","1993","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hr",
"HCSG","Healthcare Services Group, Inc.","24.86","$1.84B","1983","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/hcsg",
"HTA","Healthcare Trust of America, Inc.","28.58","$5.86B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hta",
"HQY","HealthEquity, Inc.","60.89","$4.3B","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/hqy",
"HSTM","HealthStream, Inc.","26.67","$863.4M","2000","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/hstm",
"HTLD","Heartland Express, Inc.","21.48","$1.76B","1986","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/htld",
"HTLF","Heartland Financial USA, Inc.","46.03","$1.69B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/htlf",
"HTBX","Heat Biologics, Inc.","0.57","$19.42M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/htbx",
"HEBT","Hebron Technology Co., Ltd.","4.79","$77.93M","2016","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/hebt",
"HL","Hecla Mining Company","1.98","$970.7M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/hl",
"HL^B","Hecla Mining Company","51","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/hl^b",
"HEI","Heico Corporation","127.57","$17.11B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/hei",
